user_id,comment_text,post_id,thread_id,post_time
2051862,"Me too! Awful at math!! Good luck to you two! ",30,4,1359411286
363846,"Thanks you, It works just with the fraction, not a decimal :) I suppose that this course would not be difficult to calculate, but i would be difficult to give the result in the correct form.  Fortunately, we have 100 attempts :D",103,24,1359411418
2459172,"i am waheed from USA.",5,4,1359411667
2413142,"Agree it will only make your experience better 
",115,25,1359412014
2086098,"Hi I'm Germaine and I'm from Maryland.  Just outside of Washington DC",5,4,1359412021
2350998,"from my experience in this courses in a decimal fraction you should use point instead of comma",103,24,1359412094
2413142,"From Baltimore, M.D.
",5,4,1359412129
711480,"I don't see how a recommendation could be ""outrageous"".

We are free to not opt in. ;)",77,14,1359412293
1858123,"san diego, ca living in a little town in arkansas no ones ever heard of and going back to san diego in a month",5,4,1359412371
2051610,"Oh, I love Khan Academy!  I watched like 5 videos the other day on Cosmology for my Astrobiology course.  I know that you can take practice tests for math, because I did some last year.",124,25,1359412457
2051610,"Yep, that it will!",115,25,1359412489
957136,"Thanks
",97,19,1359412704
2413142,"Yeah I havnt taken algebra 3 year, it amazing based on my score how I'm in Ap. Trigonometry
",48,5,1359412717
1597344,"I picked this answer too!!! But that was wrong!! I hope they note it!
",46,5,1359412730
1858123,"im a senior done algebra 2 .. im home schooled and have all the math requirements done so this is really just to finish up",53,9,1359412819
1713972,"I did that, but then all the videos were check-marked like I had already completed them.
Erica",19,7,1359413201
1622454,"I'm home schooled too!",53,9,1359413533
406649,"Just to clarify the issue I'm having - it's asking for both a Market and a Course. There doesn't seem to be any option to enter the code K3UAW-JUFD9 as specified in https://www.coursera.org/course/algebra.

I'm based in the UK if that makes any difference?
",59,10,1359413552
1187083,"it is asking for the exponent of z, x, and y. ",118,19,1359413588
468867,"All my answers were graded wrong on the Quiz for the Properties of Interger Exponents because the equation is written so the ""Z"" variable is raised to the -2 power and then the -2 power again. The second ""-2"" is clearly inside the brackets.  Can you please advise?

Also, during lecture examples I think you want us to ""simplify"" the equation instead of ""simply.""",135,29,1359413818
406649,"OK, here's some information I found on the ALEKS website:

http://www.aleks.com/faqs/general#how_register

'The next page will offer you a choice of registering for ALEKS use in a class or registering to use ALEKS independently. Please be sure that you choose the correct one.'

Unfortunately I choose the wrong option. :-( I'm going to contact their support now to see if I can get my account changed.
",59,10,1359413885
2421738,"El español es mi lengua materna.",152,4,1359413927
495224,"It shouldn't make any difference. I guess you're trying to purchase a license first. You clicked  ""Buy ALEKS now"" right?
Check my previous comment.",59,10,1359413996
406649,"Yeah, I bought the software first. Have just sent the following to their support and will post whatever response I get from there here.
 ---===---


I've started a course with coursera.org, Intermediate Algebra, which suggested using your software and entering the course code K3UAW-JUFD9. After registering, I couldn't find an option to enter the code, and after digging around your FAQs, found the following:

http://www.aleks.com/faqs/general#how_register

'The next page will offer you a choice of registering for ALEKS use in a class or registering to use ALEKS independently. Please be sure that you choose the correct one.'

It looks like I picked the wrong option.

Is it possible to change my account so that I'm able to pick the course code as specified by Coursera?

I'll repost this request and your response to the Coursera forums as other students are also having problems.

Regards,


Matthew Pass
",59,10,1359414215
2398438,"sophmore taking precalc. just trying to pick this up so that i can understand. btw first Coursera course",53,9,1359414280
495224,"I hope it gets rectified soon. :)",59,10,1359414337
406649,"Thanks, Cynthia!",59,10,1359414486
406649,"Thanks for that, Nicole. Let's hope I haven't wasted $19.99 on a useless account and that they can swap it over!",173,10,1359414512
979441,"Yes, Khan Academy is great. You can practice what you need work on and skip what you already have mastered. It's basically a free ALEKS.",124,25,1359414613
1971518,"Hey Melanie! I'm from Utah too.  ",55,4,1359414635
2431572,"Thank you! ",188,35,1359414760
2295151,"Yo también hablo español, Lucía de Madrid",191,30,1359414965
2431572,"@Noe, not sure what you mean by ""Today?"" :-) @Jordan, I think those are the quizzes, I think there is only one problem for today. That was under the Week 1 Syllabus, I think. ",194,35,1359414997
464167,"I'm not sure exactly how it works if you purchase the subscription first. I'd call them directly and see if you can walk through the swap with a rep. Much faster than waiting for an e-mail reply.",173,10,1359415063
1713451,"Hi Clara, when will the quizzes be available? Thank you. :)",178,34,1359415074
464167,"That's the one, Jack. :)",196,10,1359415096
692567,"If the staff can resolve the problem today, soryy for my english..!",192,35,1359415097
2121892,"I hope so",182,34,1359415104
692567,"If the staff can resolve the problem today, sorry for my english..!",194,35,1359415129
2431572,"Oh, it's no problem at all, I just wanted to clarify. I don't know when they can resolve it, but I doubt we will be penalized if they can't get it fixed for a couple days. :-)",192,35,1359415200
2431572,"Thank you, Clara! ",178,34,1359415352
2431572,"On a different page, staff just confirmed that they are working on them. :-)",194,35,1359415434
401939,"I wish they had aligned it to the free resource of Khan Academy instead of ALEKS.",124,25,1359415460
1646913,"How do you write the answers in algebraic notation?",211,38,1359415805
2457624,"I'm Homeschooled too! Glad i'm not the only one :)",53,9,1359416038
2457624,"How long have you been homeschooled
",217,9,1359416199
1589390,"Thanks for the tip about Khan Academy, I didn't know about it - looks like a great resource.",124,25,1359416417
475385,"I'm also having difficulty with interpreting the expression. Can't seem to get the ""right"" answer no matter what I try.",86,19,1359416420
2457624,"I'm Homeschooled too!
",217,9,1359416489
2457624,"I'm Homeschooled too!
",53,9,1359416534
1280505,"I'm in Florida too, Ormond Beach. :-)",12,4,1359416607
2156557,"I'm on high school and I have so much difficulty in math, but I want to change and be better on math, because I want to go to college for biomedicine and do not intend to give up my dream just because I have some difficulties in mathematics. I will not let it beat me.",53,9,1359416688
1611537,"Florida here as we'll. ",12,4,1359416728
2409976,"hola adolfo 
yo soy israel soy mexicano y no hablo muy bien el ingles.
asi que ya somos dos, para poder hablar sobre este curso de algebra.",210,4,1359416749
1611537,"Florida here as well. ",12,4,1359416770
495224,"My thoughts exactly. The software isn't compulsory, it's something that's supposed to help. There would still be embedded videos and all here. Some other courses here REQUIRE you to actually purchase books, I know 'cos I've taken a couple of those. That a course (Tuition) is free, doesn't mean there shouldn't be any commitment on our part.",212,14,1359416964
2350272,"Hi Katelyn! I am also Kaitlyn from California. :D",144,4,1359417088
2431572,"Hi, I also noticed they were taken down, but some of them reappeared. I took one and two. For two I had to attempt it a few times because of a silly mistake I made. Does anyone know if this will affect my overall grade?",214,38,1359417183
2085922,"Hi! I am Suzi from Tennessee, USA!  Wish me luck, I haven't taken a math course since the 7th grade -- many years ago! Good luck to you all!",55,4,1359417190
957136,"well they fixed the equation but I'm still not getting a match even though I'm pretty sure I have the right answer ",86,19,1359417222
2048150,"Delpha Wright from Alabama the Khan Academy is great and it breaks down the topics through video instruction and extra problems for practice. ",115,25,1359417399
1713451,"I had it, but now I can't find them :/....when I do, I'll post it. :)",227,39,1359417436
2418416,"Meredith, I'm glad you posted this, I am having the same problem!",86,19,1359417546
2418416,"Ditto quiz 6!",86,19,1359417595
464167,"There are apparently some problems with US credit cards, Mary. They're working on it.",228,14,1359417941
2333595,"Hi im Lydia and im from San Diego :)",55,4,1359418079
464167,"As anyone who has ever taken a math course knows, the ""essential"" aspects of the course are actually the homework problems. Sure, you can listen to the videos and take the quizzes and get a certificate, but will you *actually* have learned the subject? Not if you don't do the homework problems—and lots of them. They're the real meat of the course, and they're all in ALEKS.",212,14,1359418083
1925442,"I cant find it too",227,39,1359418193
819561,"Yes a lot of courses:
Fundamental of personal financial planning 
microeconomics principles 
& Introduction to philosophy :)",14,4,1359418282
1925442,"Without ALEKS you cant work on. Just watch the lectures and the quizes. Exactly the same you can do teaping ""algebra"" on youtube. I think this is a deshonorable way to make ay people.",195,14,1359418421
2051610,"There are so many ways to study Algebra and getting upset over a recommendation to purchase ALEKS should not let that get in your way to learn.  You can go online to math.com, and a host of other sites to learn the same problems.  If you look at what the video lectures are going to be for the week, go online look for the same thing and study it.  It's not rocket science.  Also your public library may have a database called Learning Express or something similiar to learn Algebra so if there is a will there is a way as the cliche goes.  I have almost finished watching the first video and am already thinking I am in over my head, but with so many ways and so many of my friends and co-workers around to help me with a problem, I am not worried.  Take a deep breath and relax, it will all work out.",77,14,1359418624
2431572,"I'm home-schooled too! I have taken Algebra 1 and I'm working on Geometry. ",230,9,1359419094
1713451,"Yeah, apparently the tab dissappeared :/",227,39,1359419153
1713451,*disappeared...,227,39,1359419215
2331671,"Ive used ALEKS before at my school and hated it, everyone I know that has used it ... it didnt help them. I am sure it helps some people, but I for one will not be buying it. And it is upsetting that they feel theneed  to encourage us to use something that isnt free, for a free class..",115,25,1359419228
711480,"And you can get lots and lots of homework problem and practice on Khan Academy. :)

Maybe for the next time the instructors will consider using the Khan Academy  framework to make a set of exercises to complement the course?

Calculus One (Ohio State University) did create a training module called MOOCulus, based on the Khan Academy framework, and it works great. :)

However, for us, right now: go to KA and get the basics down.",212,14,1359419311
2456001,"I only had one question in the first quiz.",250,29,1359419587
2416706,"I am having the same issue. I've tried multiple ways of formatting without success.",251,20,1359419791
1285502,"the same problem. I tried to change order to - 7*sqrt(14)-16, but it`s still the same",257,20,1359420088
1788237,Thanks!,250,29,1359420123
1979033,"I'm homeschooled, freshman in high school, doing Geometry but decided to do this course as well. Doesn't hurt to review some things! ;)",53,9,1359420219
2351849,"No, that is the correct answer from what I've got but just like you I can't get it to work with how I'm imputing it. ",257,20,1359420387
1979033,"On the contrary, I like my Geometry teacher and how she teaches, as well as the math itself.",150,9,1359420695
2456001,"None of the 4 questions in the Quiz: Properties of Real Numbers made any sense at all.  Are there errors in all 4 questions?",135,29,1359420741
1979033,"I have done Algebra at home, but am doing Geometry in school. Not too bad! ;)",230,9,1359420821
2355999,"I'm home schooled too! :) I finished Algebra 1 and started geometry. But it was to hard for me, so I'm reviewing pre-algebra and algebra. (I'm only 9)",53,9,1359420861
1979033,"Yes, Introduction to Genetics and Evolution. Very good teacher!",14,4,1359420887
2454181,"Ahh, you lucked out. Our geo teacher (like most of my teachers, which is pretty shitty) just kind of hand out worksheets and copypaste things from their teacher's edition of the textbook onto the board. You have to teach yourself almost everything",150,9,1359421146
735849,"Tara, we three have to keep one another motivated! ",30,4,1359421215
2431572,"Sounds like fun!! I'm taking Equine Nutrition right now, now and have a bunch of others coming up. :-)",14,4,1359421239
2431572,"*now Darned auto-correct is usually wrong, ha ha!",14,4,1359421277
1950295,"I am doing the same thing! I attempted the Introduction to Astronomy course a couple of months ago that was being done through Duke University and the math was just beyond me. I haven't been in school in 10 years, so hopefully this will get us up to date and I will see you again in a future astronomy course. ",218,4,1359421322
1979033,"Yikes! Luckily, I don't have to do that. My teacher talks and writes things on the board, making sure that everyone's taking notes. She's also a very nice person to talk to.",150,9,1359421323
2237835,"I am pretty sure I have figured out the right answer but I am not getting a match.",86,19,1359421966
2005009,"I don't think it will affect your overall grade.  I'm pretty sure that somewhere it said that it will take your highest score",214,38,1359422071
2232947,"Thank you :)
",190,36,1359422217
2321963,"originally from Puerto Rico, but currently North Carolina, USA",14,4,1359422531
2431572,"I think we only have one question per quiz! Seems too good to be true, right? ",234,38,1359422653
2431572,"Thanks! ",214,38,1359422676
2351625,"Utah the Mormon land?, i like your people. I'from Brazil.",55,4,1359422926
1852292,"Looks like it costs $50 US. A little higher than I was hoping. I thought by tying a MOOC to it they'd be able to negotiate a better fee for us. Guess I'm going to try doing the course without it. ",115,25,1359423013
2150585,"Hi, I'm Peggy and I am from Virginia, USA.  I have not taken a math class in over 30 years.  I am very curious about how this will work out for me.",14,4,1359423031
369714,"Appears to be optional.  Just don't purchase if you are able to or aren't interested.  Not sure why everyone is getting so twisted over this.  I've taken about 10 Coursera classes and there are always ""options"" that may cost something -- just don't buy anything if you don't want to -- not like the teacher is checking your classroom materials first day of school to make sure you have the requisite texts.",259,32,1359423070
2448698,"la mia tambien :)
",152,4,1359423283
2150585,"Carol, I am not much younger than you, nice to know you are in the class!
",71,4,1359423376
2448698,"Yay, another rican!
",297,4,1359423458
2448698,"Yay, another rican!
",297,4,1359423458
2448698,"Yay, another rican!
",297,4,1359423458
2448698,"Yay, another rican!
",297,4,1359423458
2448698,"Yay, another rican!
",297,4,1359423458
2448698,"Yay, another rican!
",297,4,1359423458
2448698,"Yay, another rican!
",297,4,1359423471
1401268,"Florida here too! :)",12,4,1359423518
1736501,"Hi Tanya, though I now live in Omaha, I am from DC and my son and mother are still there.  Good to see DC in the huose.",41,4,1359423731
1736501,"I am also taking Developing Innovative Ideas for New Companies, I have a business idea and my son already has started his own litle business, so I am hoping to gain some insight in how to make our businesses grow.

These are my first Coursea classes.",14,4,1359423866
1788723,"You are taking algebra intermediate right?",122,4,1359423926
1736501,"me too, if anyone gets it, let us know if you think it is helpful.",15,4,1359423943
1788723,"Hey same here :)",148,4,1359423980
1788723,"Hey muchachos, estan tomando algebra intermedia tambien? tengo preguntas?
",210,4,1359424119
1775885,"From Boston too",281,4,1359424191
692567,"Even if you use a calculator the result is -42.191601707. I know it is not correct to use a calculator, but given the error, I had to know where was the problem, and there is not.",257,20,1359424307
1788723,"Hey are you getting the lek program?",148,4,1359424541
2457624,"How long have you been homeschooled?
",53,9,1359424610
1788723,"Same here, i feel its alit bit expensive.....",15,4,1359424772
1956952,"Hi Peggy, I am also from Virginia! :-) Congrats on going back to school!",14,4,1359424833
1956952,"I am a teacher/tutor during the week, and we use ALEKS in our class for  my students. I love the programs and find them well worth the money. I am only not using it this semester because I find myself between jobs right in time to start school! :)",15,4,1359424935
1788723,"hola Rae:) I am from Southern California  too. :)",84,4,1359425201
2457624,"Its really nice to meet you all..glad to see people close to where i live
",41,4,1359425227
1788723,"Hola pues entre nosotros nos podemos ayudar...",122,4,1359425266
1788723,"y yo tambien JEJEJEJ",152,4,1359425338
342459,"Hi, I am Rajkamal from India..................",55,4,1359425383
1788723,"HOLA :)",236,4,1359425495
2255499,"Mine says( 2 sqrt (7) + 3 sqrt (2))(sqrt (7) - 5sqrt(2)  
So the = sign does not show up like the posts above me.  But if you use FOIL on that, I end up with the correcct answer, but then when I submit it, it says it is not a match and counts the problem wrong.
",86,19,1359426235
2255499,"As far as the quiz week 1 #8 Simplified Radical Form.    You end up with a cube root of something;  Problem is there is no function abbreviation for cube root..  I I tried cubrt, but it won't take it.  ",86,19,1359426318
2255499,"Why on earth are they calling an exponent a coefficient?????   I got the answer correct but that is only because I figured they have their terms mixed up.    This is not good.",118,19,1359426420
1956952,"I was able to find the textbook before the class started, and I know a lot of people who have done the same. I do not really see how it is dishonest, they do state the course materials are not always included. From what I am seeing most Coursera classes are asking for you to get your own textbooks/materials. And to be honest, I would still rather pay 50 bucks than 250 for a non credit course :)",195,14,1359426777
2332374,"I am having the worst time trying to figure this out. can someone please simplify this explanation to me.",107,24,1359426942
2168475,"I can only answer question 1 on my quiz. I tried saving the answer and coming back to the quiz and that did not work. Submitting the quiz gave me the same result as problem stated above. Im not sure if its a computer problem or if I am not selecting the corect option to continue on the quiz.",291,48,1359426999
1965039,"I'm from Alaska... freezing
",5,4,1359427067
2077215,"Yep.  Ditto on Firefox.  IE works okay.",143,13,1359427252
2142639,"I am only give one question to answer in Quiz 1.  This can not be right.  It seems like there are issues with other quizzes from what I read on the discussion board.  Who can we contact to have this issue resolved?  I am thinking of holding off on taking the quizzes until Saturday until this is addressed, or drop the course if this is not fixed.",250,29,1359427376
2131452,"Yes. ",341,24,1359427462
2452175,"Actions:  Switch to a new class.  Enter the course code for Intermediate Algebra, and move yourself",305,27,1359427502
2351625,"oie tudo bom?",328,4,1359427670
1282476,"I guess I should have rechecked the syllabus before I made my post. I retract what I said about the high attempt limit meaning that these probably aren't being graded. If there are problems with some of the grading it is going to matter how multiple attempts are handled.
I came across another post on this same subject. Refers to ""Quiz #4"", you may want to find that and vote it up too.",342,55,1359427856
227563,"No, seriously. Can we talk about that voice for a second? I've heard of people having a 'sing-song' voice before, but this is absurd. It's distracting.",329,50,1359428432
2332374,"sure we can if I can figure out together gimme a second
",360,24,1359428996
2322732,"I can't even get Scribblar to work.  Any hints?  This is so frustrating!!!
",360,24,1359429072
799212,K3UAW-JUFD9,324,32,1359429216
799212,"K3UAW-JUFD9.  I hope this helps, I am still on the fence about purchasing the software.  Post you thoughts once you download the software.  Thanks in advance. ",324,32,1359429313
2477647,"K is the numeric portion of the simplified expression. For example, if you simplified it to 5/2 * xyz, then you would answer K=5/2.",350,19,1359429351
2432923,"Maybe you can input a cube root by using ""^(1/3)"". I didn't try it, but you can give a try. =)",357,57,1359429450
1914312,"I'm needing to be WAY refreshed.  I just finished grad school in some ""soft"" topics, but really need more tech and science so since it's free I figured I would get to it.  It's only been 30 years!",355,56,1359429627
2254700,"hi i'm alex, and i'm from el salvador",5,4,1359429664
1878644,"+1 for Khan Academy, I managed to brush up on years worth of math in the course of a month by working on that site. I can't imagine it will be hard to use Khan Academy in conjunction with this class.",115,25,1359430300
2239345,"hi,Jody from South Carolina 58 years old and a long time since algebra",56,4,1359430540
2147247,"Thank you so much for helping with that!  I was wondering, "" Coefficients?  What the heck?""
",341,24,1359430981
2243078,"Nome,Alaska",299,26,1359432317
1511641,"I too have the same answer and its not being accepted. I have found problems with both these quiz answers: Multiplication Involving Square Roots
Simplified Radical Form",290,53,1359432793
2383260,"I did Quiz 4 two times but my answer -16-7* sqrt (14) is not accepted as correct even I know it is a correct answer. How to enter it correctly?",389,53,1359432840
475385,"Try raising the expression by the one-third power. That is, x^(1/3) is the same as the cube root of x.",86,19,1359432914
343364,"I agree with Jacob. Khan Academy is my go-to for all math learning for my children and myself. Free, thorough, fun videos with a reward system for the kids (and adults if you need it) :-)  

I was a bit annoyed by the ALEKS math suggestion because I feel that ALEKS is an inferior product. But I decided not to purchase, knowing that I can practice any new material on Khan.",212,14,1359433113
2411005,"It's an option. You have that option of a completely FREE education. Or you have the option of BUYING the program, in hopes that you'll get more out of this. Your choice. ",124,25,1359433666
816727,"That's 3 of us from Virginia!  and same here Peggy >30 years since last formal math class but have taken 2 EdX courses (E&E) and currently in 3 Astronomy related Coursera courses with tons of math and physics.  I really should have taken this refresher course first.  Good luck fellow Old Dominion's!",14,4,1359434227
875768,"try ^(1/3)",354,55,1359434641
2432410,"I have the same problem...!",257,20,1359434980
875768,"that's because 2/3 IS wrong but the thing that cost me 1 attempt was that I failed to see the ""positive form"" of x^s and y^t so I entered a negative coefficient but that it certainly my oversight",401,61,1359435128
2383260,"I got the same answer 4*x*y^2*(x^2*y)^(1/3) but  somehow it's wrong",408,67,1359435308
2273034,"Totally agree. Having a customized education like what ALEKS provides would be awesome, but I'm seeking free education so it is just not gonna be for me. ",344,40,1359435432
2193204,"Is there an eta on the fix?  Once the error is corrected do we need to resubmit the answer or will our answers rerecorded correctly?",390,20,1359436786
1313961,"same problem here too!",257,20,1359437853
692567,"My answer is the same, and doesn't work. Anybody can give a tip.
",408,67,1359438364
2270306,"Mexico FTW! =D",5,4,1359438575
1212740,"I'm having the same problem. I have the correct answer but can't figure out how to input it. Are these wrong attempts going to count against our grade?",408,67,1359438635
692567,"I really want them to see their own mistakes: Quiz # 4 and the # 8.",408,67,1359439218
2252735,"Southern California, but i'm stationed in Anchorage, Alaska right now.",5,4,1359439318
2282101,"No, the 11 week license is $50, it is different from the license available monthly.",464,10,1359439606
692567,"Thnx Ryan...!",396,53,1359440054
2330894,"I am having trouble with the same quiz but I am having more trouble figuring out how these discussion forums work.  I also have my work on paper and am trying to figure out how to show my math to someone who could possibly help me.  I was confused by the fact that the first problem was equating the first expression to a second expresion and then asking for the value of k. Maybe I am not understanding the question but it seemed a big leap to go from learning to simplify integer exponents to solving this equation.",457,71,1359441306
2084164,"that would make it a cube root..",354,55,1359442916
2310868,"There was a nice, shy lady on my video lecture.  Are you sure your monitor is working?",471,65,1359443332
1321055,"Great comment. All of the quizzes in the course have a maximum number of attempts set at 100. The grade for the quiz will be the highest grade achieved during any of those attempts. The quizzes are really intended for your learning and practice, not for determining your final grade. Please do not hesitate to let us know if anyone would like more than 100 attempts or finds this setting to not be working.",342,55,1359444664
1827679,"Hi I'm from Russia too.",16,4,1359445474
2362125,"I'm also having trouble on that question #1 finding the value of K.  I was able to simplify the expression and found the coefficients of x,y,z.  However question 1, I either don't understand what they are asking or I've made a wrong calculation.  Any assistance is appreciated.  Thank you.",457,71,1359446575
88466,"Thanks same problem.",502,79,1359446779
2411005,"It's an option. You have that option of a completely FREE education. Or you have the option of BUYING the program, in hopes that you'll get more out of this. Your choice.",115,25,1359446939
1062296,"Some of us just don't want to feel like we would be at a disadvantage if we *don't* purchase it. ",259,32,1359448234
2310868,"Admire the fact that you took it seriously.
If I were being anything other than cheeky I would have raised the argument that most of us tend to lick tootsies in the same spot so you're bound to get to the center long before you would lick off the entire outer shell.

If I were mathematically inclined I would be able to make some informed recourse to ""diameter"" as opposed to ""radius"" (or perhaps the opposite).  

But I'm not so I kid and get easier answers by kidding.",513,76,1359448562
2362125,"Okay I was able to solve the problem in finding the value of K.  Also x,y,z are exponents and not coefficients.  I think that was a typo in the quiz?
You have to invert the fraction under the negative exponent rule after using the power of a quotient rule and then square the fraction.  eg.- (4/6)^-2 =(2/3)^-2 =(2^-2/3^-2) =(3^2/2^2) =(9/4)
Hope this helps as I found the question confusing at first.",457,71,1359449337
1532631,"HI :) I am a recent RN and work on an Ortho/Neuro floor :))

If you have questions, let me know - I love helping fellow nurses!!",79,4,1359449925
1532631,"ATL! *woot*

About 80 miles northwest of you in Rome :)",146,4,1359450078
1532631,"ATL! woot

About 80 miles northwest of you in Rome :)",159,4,1359450137
1532631,"ATL! woot

About 80 miles northwest of you in Rome :)",516,4,1359450306
1532631,"Oops - I have my BS in Ex Health :)  I'm WANTING my BSN :)  LOL!  Getting ahead of myself there.... ",526,4,1359450513
2348211,"Everyone learns differently. Don't be rude. ",270,46,1359451854
2425629,"dunno well this algebra course or any other at coursera aren't exactly free, just other are paying for it so you don't have too ;)",479,60,1359452753
2425629,"dunno well this algebra course or any other at coursera aren't exactly free, just others are paying for it so you don't have too ;)",479,60,1359452815
2425629,"I think its ""outrageous"" that people would complain in a 'free course' about what is simply a recommendation to purchase a study aid, (that you don't have to take up), especially when your 'free' coursera course.......well it isn't free....just you're not the one having to pay for it :) 
Relax, be grateful and just enjoy ;)",77,14,1359453308
2346066,"How to proceed wid the quiz??",333,59,1359457177
2148188,"lets make this unanimous",273,20,1359457242
2234378,"Hey! i'm Alex. Also from Romania :)  salut!  ma bucur sa vad ca nu sunt singura aici :D",524,4,1359457852
2455289,"Thank you for the answer. ",546,85,1359458117
890145,"I am getting tired of all the typos. Even in the examples, they say ""simply"" instead of ""simplify."" it is distracting to see so many mistakes in English. ",251,20,1359458228
544741,"well i tried the question. The preview is simplifying the right answer into non-radical form, it is completely opposite. Maybe if there is a function for cube root (just like sqrt()), that could solve the preview problem.
BTW ""^(1/3)"" would not work, either..",357,57,1359458366
1622454,"We should start a ""Homeschooled Coursera Algebra"" group",53,9,1359458453
544493,"I'm from Venezuela and I try to access the course with Aleks, if notified in the first email software to be acquired not I sign, I think that's the general discomfort",220,14,1359458902
2120255,"It's not gonna matter how you put your correct answer in, the system is not accepting it.  Time for morning coffee!!",478,55,1359459708
2264591,"I believe we are now lots of students with the same issue but last night I got an e-mail from Melissa Loble (Associate Dean, Distance Learning, UC Irvine) saying ""For those of you concerned about your grade, we will remove the week #1 quizzes from your overall quiz grade. This means these quizzes are free of any grading penalty. "" I agree with the morning coffee.
 ",567,55,1359462467
475385,"I have read your email and appreciate the novelty of MOOCs in teaching, but part of the learning experiene is to get appropriate feedback on the work we do. If the feedback we receive on a problem is incorrect, this raises some self-doubt about our ability to perform adequately in the course. If the automated feedback cannot be corrected, can the answers to quizzes #4 and #8 be provided at least after the deadline has past so that this uncertainty we have can be resolved?",342,55,1359463447
2120255,"Just the final answer.  Quiz 4 correct answer is not being accepted as correct.",558,87,1359465126
2120255,"The cube root of x can be written as (x)^(1/3).  If you have the correct answer (with correct parsing), it will still not be accepted by the system as correect.",560,87,1359465257
1644805,"Hi. I'm angel fron Ecuador
",5,4,1359465938
2289979,"hey please i also stand for the same thing there is an error in the quiz#4 multiplication with square roots ..... i hope the authorities reconsider the question
",348,55,1359466883
1350643,"This is your instructor. You were all correct. There was a typo in the correct answer and though I changed it before the course started, I neglected to save it. Thanks for catching this! Continue the great forum discussions!",257,20,1359467196
2178948,"but 2.2360679 is a rational number, right? It's a decimal and repeating number. Am I right?",595,96,1359467640
1350643,"I am your instructor for the course. I definitely appreciate your comments on free vs. pay resources. We will try to draw your attention to some good resources on the course pages, but are also hoping the community will identify and share useful resources through the forums.

It is definitely not our intent to push ALEKS. You are correct that it was developed at UCI. Howeve,r I have no ties to the company and I do not make a dime if you choose to use that software. We have a UCI version of this course which uses the ALEKS software for all the practice and assessments. It is a great tool for giving lots of individualized practice and testing your retention throughout the course. Because we have seen ALEKS work well for our students, we wanted to recommend ALEKS as a good supplement for those interested in that sort of thing. 

The Khan academy has excellent videos and resources. Please do use it in conjunction with this course! 
",344,40,1359467739
1923529,"2.2360679 isn't a repeating number, 0.3333333 repeats",595,96,1359468210
169359,"Yes, I spent ages blundering around trying to work out how to do this. More detailed instructions on this would be good.",485,67,1359468222
2282101,"Yes, you end up paying $100 for both, you need two separate accounts. 
",557,10,1359468478
1159193,"I also feel I got the correct answer.  I calculated out the original form and my answer and both came out with the exact same result.  I tried it with the -16 in the beginning and at the end and the results are the same.  If it should be in a different format to be accepted I can't figure that out.",590,55,1359468639
2178948,"so, what is the difference btw rational and irrational number?",620,96,1359469308
2178948,"Thanks. but 2.2360679 is a rational number, right?",595,96,1359469345
1741940,"Hi, I am Gary from Loveland, OH USA. This is 20 miles east of Cincinnati.",55,4,1359469388
447489,"As the number of attempts doesn't count towards your score I don't really see a problem, except for the annoyance of broken graders.",614,67,1359469619
